"Day ","Items ","Note ","Amount "
"42","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5280","142"
"42","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 295","15000"
"42","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 298","15000"
"42","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"42","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Chicago","970"
"42","Rental Expense","Cash Payment - Rental - Chicago","3200"
"42","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","609"
"42","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"42","Rental Expense","Cash Payment - Rental - New York","4020"
"42","Rental Expense","Cash Payment - Rental - Detroit","1000"
"41","Salary Expense","Cash Payment - Salary Expense","24796"
"41","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5422","189"
"41","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5439","251"
"41","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"41","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Chicago","3395"
"41","Rental Expense","Cash Payment - Rental - Chicago","3200"
"41","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","754"
"41","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"41","Rental Expense","Cash Payment - Rental - New York","4020"
"41","Rental Expense","Cash Payment - Rental - Detroit","1000"
"40","Human Resource Expense","Counselled","2000"
"40","Human Resource Expense","Counselled","2000"
"40","Salary Expense","Cash Payment - Salary Expense","24076"
"40","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5161","21"
"40","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"40","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Chicago","2615"
"40","Rental Expense","Cash Payment - Rental - Chicago","3200"
"40","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","899"
"40","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"40","Rental Expense","Cash Payment - Rental - New York","4020"
"40","Rental Expense","Cash Payment - Rental - Detroit","1000"
"39","Salary Expense","Cash Payment - Salary Expense","24076"
"39","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5134","308"
"39","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 319","15000"
"39","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 322","15000"
"39","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"39","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Chicago","585"
"39","Rental Expense","Cash Payment - Rental - Chicago","3200"
"39","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"39","Rental Expense","Cash Payment - Rental - New York","4020"
"39","Rental Expense","Cash Payment - Rental - Detroit","1000"
"38","Human Resource Expense","Counselled","2000"
"38","Salary Expense","Cash Payment - Salary Expense","24076"
"38","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 4503","214"
"38","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 4982","109"
"38","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5002","119"
"38","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"38","Rental Expense","Cash Payment - Rental - Chicago","3200"
"38","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"38","Rental Expense","Cash Payment - Rental - New York","4020"
"38","Rental Expense","Cash Payment - Rental - Detroit","1000"
"37","Human Resource Expense","Counselled","2000"
"37","Human Resource Expense","Counselled","2000"
"37","Human Resource Expense","Counselled","2000"
"37","Human Resource Expense","Counselled","2000"
"37","Salary Expense","Cash Payment - Salary Expense","24076"
"37","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 295","15000"
"37","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 298","15000"
"37","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"37","Rental Expense","Cash Payment - Rental - Chicago","3200"
"37","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"37","Rental Expense","Cash Payment - Rental - New York","4020"
"37","Rental Expense","Cash Payment - Rental - Detroit","1000"
"36","Salary Expense","Cash Payment - Salary Expense","24004"
"36","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 4546","233"
"36","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"36","Rental Expense","Cash Payment - Rental - Chicago","3200"
"36","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"36","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","1120"
"36","Rental Expense","Cash Payment - Rental - New York","4020"
"36","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","690"
"36","Rental Expense","Cash Payment - Rental - Detroit","1000"
"35","Human Resource Expense","Counselled","2000"
"35","Salary Expense","Cash Payment - Salary Expense","23932"
"35","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 4533","150"
"35","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 4540","188"
"35","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"35","Rental Expense","Cash Payment - Rental - Chicago","3200"
"35","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"35","Rental Expense","Cash Payment - Rental - New York","4020"
"35","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","870"
"35","Rental Expense","Cash Payment - Rental - Detroit","1000"
"34","Human Resource Expense","Counselled","2000"
"34","Salary Expense","Cash Payment - Salary Expense","23818"
"34","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 4376","100"
"34","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 319","15000"
"34","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 322","15000"
"34","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"34","Rental Expense","Cash Payment - Rental - Chicago","3200"
"34","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"34","Rental Expense","Cash Payment - Rental - New York","4020"
"34","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1050"
"34","Rental Expense","Cash Payment - Rental - Detroit","1000"
"33","Human Resource Expense","Counselled","2000"
"33","Salary Expense","Cash Payment - Salary Expense","23780"
"33","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 4223","82"
"33","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"33","Rental Expense","Cash Payment - Rental - Chicago","3200"
"33","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"33","Rental Expense","Cash Payment - Rental - New York","4020"
"33","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1200"
"33","Rental Expense","Cash Payment - Rental - Detroit","1000"
"32","Human Resource Expense","Counselled","2000"
"32","Salary Expense","Cash Payment - Salary Expense","23780"
"32","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 3944","149"
"32","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 4044","210"
"32","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 295","15000"
"32","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 298","15000"
"32","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"32","Rental Expense","Cash Payment - Rental - Chicago","3200"
"32","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"32","Rental Expense","Cash Payment - Rental - New York","4020"
"32","Rental Expense","Cash Payment - Rental - Detroit","1000"
"31","Salary Expense","Cash Payment - Salary Expense","23628"
"31","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 3884","112"
"31","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 3895","69"
"31","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"31","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Chicago","710"
"31","Rental Expense","Cash Payment - Rental - Chicago","2400"
"31","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"31","Rental Expense","Cash Payment - Rental - New York","4020"
"31","Rental Expense","Cash Payment - Rental - Detroit","1000"
"30","Human Resource Expense","Counselled","2000"
"30","Human Resource Expense","Counselled","2000"
"30","Salary Expense","Cash Payment - Salary Expense","22944"
"30","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 3704","215"
"30","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 3717","283"
"30","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"30","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Chicago","620"
"30","Rental Expense","Cash Payment - Rental - Chicago","2400"
"30","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"30","Rental Expense","Cash Payment - Rental - New York","4020"
"30","Rental Expense","Cash Payment - Rental - Detroit","1000"
"29","Salary Expense","Cash Payment - Salary Expense","22944"
"29","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 319","15000"
"29","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 322","15000"
"29","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"29","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Chicago","290"
"29","Rental Expense","Cash Payment - Rental - Chicago","2400"
"29","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"29","Rental Expense","Cash Payment - Rental - New York","4020"
"29","Rental Expense","Cash Payment - Rental - Detroit","1000"
"28","Salary Expense","Cash Payment - Salary Expense","22944"
"28","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 3383","194"
"28","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"28","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Chicago","730"
"28","Rental Expense","Cash Payment - Rental - Chicago","2400"
"28","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"28","Rental Expense","Cash Payment - Rental - New York","4020"
"28","Rental Expense","Cash Payment - Rental - Detroit","1000"
"27","Human Resource Expense","Counselled","2000"
"27","Human Resource Expense","Counselled","2000"
"27","Salary Expense","Cash Payment - Salary Expense","22944"
"27","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 3236","242"
"27","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 295","15000"
"27","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 298","15000"
"27","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"27","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Chicago","775"
"27","Rental Expense","Cash Payment - Rental - Chicago","2400"
"27","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"27","Rental Expense","Cash Payment - Rental - New York","4020"
"27","Rental Expense","Cash Payment - Rental - Detroit","1000"
"26","Human Resource Expense","Cash Payment - Staff Recruiting - Detroit","60000"
"26","Human Resource Expense","Counselled","2000"
"26","Salary Expense","Cash Payment - Salary Expense","22872"
"26","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 3082","339"
"26","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"26","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Chicago","780"
"26","Rental Expense","Cash Payment - Rental - Chicago","2400"
"26","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"26","Rental Expense","Cash Payment - Rental - New York","4020"
"26","Rental Expense","Cash Payment - Rental - Detroit","1000"
"25","Human Resource Expense","Counselled","2000"
"25","Salary Expense","Cash Payment - Salary Expense","21472"
"25","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 2788","344"
"25","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 2946","276"
"25","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"25","Rental Expense","Cash Payment - Rental - Chicago","2400"
"25","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"25","Rental Expense","Cash Payment - Rental - New York","4020"
"24","Salary Expense","Cash Payment - Salary Expense","21364"
"24","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 2618","228"
"24","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 2780","400"
"24","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 319","15000"
"24","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 322","15000"
"24","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"24","Rental Expense","Cash Payment - Rental - Chicago","2400"
"24","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"24","Rental Expense","Cash Payment - Rental - New York","4020"
"23","Human Resource Expense","Counselled","2000"
"23","Salary Expense","Cash Payment - Salary Expense","21328"
"23","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 2195","317"
"23","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 2440","396"
"23","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"23","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Chicago","230"
"23","Rental Expense","Cash Payment - Rental - Chicago","2400"
"23","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"23","Rental Expense","Cash Payment - Rental - New York","4020"
"22","Human Resource Expense","Counselled","2000"
"22","Human Resource Expense","Counselled","2000"
"22","Salary Expense","Cash Payment - Salary Expense","21328"
"22","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 2294","115"
"22","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 295","15000"
"22","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 298","15000"
"22","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"22","Rental Expense","Cash Payment - Rental - Chicago","2400"
"22","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"22","Rental Expense","Cash Payment - Rental - New York","4020"
"21","Human Resource Expense","Counselled","2000"
"21","Salary Expense","Cash Payment - Salary Expense","21184"
"21","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 2137","82"
"21","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 2275","165"
"21","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"21","Rental Expense","Cash Payment - Rental - Chicago","2400"
"21","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"21","Rental Expense","Cash Payment - Rental - New York","4020"
"20","Salary Expense","Cash Payment - Salary Expense","20536"
"20","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"20","Rental Expense","Cash Payment - Rental - Chicago","2400"
"20","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"20","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","560"
"20","Rental Expense","Cash Payment - Rental - New York","4020"
"19","Human Resource Expense","Counselled","2000"
"19","Human Resource Expense","Counselled","2000"
"19","Salary Expense","Cash Payment - Salary Expense","20536"
"19","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 1972","163"
"19","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 319","15000"
"19","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 322","15000"
"19","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"19","Rental Expense","Cash Payment - Rental - Chicago","2400"
"19","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"19","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","1120"
"19","Rental Expense","Cash Payment - Rental - New York","4020"
"18","Human Resource Expense","Counselled","2000"
"18","Salary Expense","Cash Payment - Salary Expense","20536"
"18","Interest Expense ","Cash Payment - Interest - For Overdraft Used","1027"
"18","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"18","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Chicago","50"
"18","Rental Expense","Cash Payment - Rental - Chicago","2400"
"18","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"18","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","1610"
"18","Rental Expense","Cash Payment - Rental - New York","4020"
"17","Human Resource Expense","Cash Payment - Staff Recruiting - Production","30000"
"17","Human Resource Expense","Counselled","2000"
"17","Human Resource Expense","Cash Payment - Staff Recruiting - Production","30000"
"17","Salary Expense","Cash Payment - Salary Expense","20536"
"17","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 1660","128"
"17","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 295","15000"
"17","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 298","15000"
"17","Interest Expense ","Cash Payment - Interest - For Overdraft Used","1027"
"17","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"17","Rental Expense","Cash Payment - Rental - Chicago","2400"
"17","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"17","Rental Expense","Cash Payment - Rental - New York","4020"
"16","Salary Expense","Cash Payment - Salary Expense","19136"
"16","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 1531","171"
"16","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 1545","84"
"16","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"16","Rental Expense","Cash Payment - Rental - Chicago","2400"
"16","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"16","Rental Expense","Cash Payment - Rental - New York","4020"
"15","Salary Expense","Cash Payment - Salary Expense","19136"
"15","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"15","Rental Expense","Cash Payment - Rental - Chicago","2400"
"15","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"15","Rental Expense","Cash Payment - Rental - New York","4020"
"14","Salary Expense","Cash Payment - Salary Expense","19028"
"14","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 1144","120"
"14","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"14","Rental Expense","Cash Payment - Rental - Chicago","2400"
"14","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"14","Rental Expense","Cash Payment - Rental - New York","4020"
"13","Human Resource Expense","Counselled","2000"
"13","Salary Expense","Cash Payment - Salary Expense","18992"
"13","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 1018","260"
"13","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 1128","123"
"13","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"13","Rental Expense","Cash Payment - Rental - Chicago","2400"
"13","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"13","Rental Expense","Cash Payment - Rental - New York","4020"
"12","Human Resource Expense","Counselled","2000"
"12","Human Resource Expense","Counselled","2000"
"12","Salary Expense","Cash Payment - Salary Expense","18992"
"12","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 992","174"
"12","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 295","15000"
"12","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 298","15000"
"12","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"12","Rental Expense","Cash Payment - Rental - Chicago","2400"
"12","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"12","Rental Expense","Cash Payment - Rental - New York","4020"
"11","Salary Expense","Cash Payment - Salary Expense","18848"
"11","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 890","87"
"11","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"11","Rental Expense","Cash Payment - Rental - Chicago","2400"
"11","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"11","Rental Expense","Cash Payment - Rental - New York","4020"
"10","Human Resource Expense","Counselled","2000"
"10","Salary Expense","Cash Payment - Salary Expense","18200"
"10","Interest Expense ","Cash Payment - Interest - For Overdraft Used","1027"
"10","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"10","Rental Expense","Cash Payment - Rental - Chicago","2400"
"10","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"10","Rental Expense","Cash Payment - Rental - New York","4020"
"9","Salary Expense","Cash Payment - Salary Expense","18200"
"9","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"9","Rental Expense","Cash Payment - Rental - Chicago","2400"
"9","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"9","Rental Expense","Cash Payment - Rental - New York","4020"
"8","Human Resource Expense","Counselled","2000"
"8","Salary Expense","Cash Payment - Salary Expense","18200"
"8","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"8","Rental Expense","Cash Payment - Rental - Chicago","2400"
"8","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"8","Rental Expense","Cash Payment - Rental - New York","4020"
"7","Salary Expense","Cash Payment - Salary Expense","18200"
"7","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 295","15000"
"7","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 298","15000"
"7","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"7","Rental Expense","Cash Payment - Rental - Chicago","2400"
"7","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"7","Rental Expense","Cash Payment - Rental - New York","4020"
"6","Human Resource Expense","Counselled","2000"
"6","Human Resource Expense","Counselled","2000"
"6","Human Resource Expense","Counselled","2000"
"6","Salary Expense","Cash Payment - Salary Expense","18200"
"6","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"6","Rental Expense","Cash Payment - Rental - Chicago","2400"
"6","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"6","Rental Expense","Cash Payment - Rental - New York","4020"
"5","Human Resource Expense","Cash Payment - Staff Recruiting - Production","30000"
"5","Human Resource Expense","Cash Payment - Staff Recruiting - New York","60000"
"5","Salary Expense","Cash Payment - Salary Expense","18200"
"5","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"5","Rental Expense","Cash Payment - Rental - Chicago","2400"
"5","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"5","Rental Expense","Cash Payment - Rental - New York","4020"
"4","Human Resource Expense","Counselled","2000"
"4","Human Resource Expense","Counselled","2000"
"4","Human Resource Expense","Cash Payment - Staff Recruiting - Production","30000"
"4","Salary Expense","Cash Payment - Salary Expense","16100"
"4","Depreciation Expense","Non-Cash Expense - Depreciation","5000"
"4","Rental Expense","Cash Payment - Rental - Chicago","2400"
"4","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"3","Salary Expense","Cash Payment - Salary Expense","15400"
"3","Rental Expense","Cash Payment - Rental - Chicago","2400"
"3","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"2","Human Resource Expense","Cash Payment - Staff Recruiting - Chicago","60000"
"2","Human Resource Expense","Cash Payment - Staff Recruiting - Los Angeles","60000"
"2","Salary Expense","Cash Payment - Salary Expense","15400"
"2","Rental Expense","Cash Payment - Rental - Chicago","2400"
"2","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"1","Salary Expense","Cash Payment - Salary Expense","12600"
